params,score
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0078778862953186
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131105948239564
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0120931705459952
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 256, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131105761975049
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0003552743291947
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0011283018393442
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",9.799518011277542e-05
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.0001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0008232212276197
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0030678347684442
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0130974054336547
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0116330292075872
"{'batch_size': 64, 'd_model': 128, 'dropout_rate': 0.2, 'feed_forward_size': 512, 'learning_rate': 0.001, 'n_heads': 8, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0131105668842792
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.000469826045446
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.0001, 'n_heads': 4, 'n_layers_decoder': 2, 'n_layers_encoder': 2}",0.0008365188841708
"{'batch_size': 32, 'd_model': 64, 'dropout_rate': 0.0, 'feed_forward_size': 128, 'learning_rate': 0.001, 'n_heads': 4, 'n_layers_decoder': 1, 'n_layers_encoder': 1}",0.0007267706678248
